"pls_id","chd_id","rcs_id"
"3311","2330","110"
"3312","2163","94"
"3314","1122","1"
"3318","2001","83"
"3319","2003","1"
"3320","2002","1"
"3323","2379","4"
"3324","2380","4"
"3325","2177","83"
"3326","2178","83"
"3327","2292","1000"
"3328","2293","1000"
"3329","1995","68"
"3330","1777","68"
"3331","2207","83"
"3332","2208","83"
"3333","701","83"
"3334","2090","68"
"3337","1436","83"
"3338","1888","94"
"3340","2477","83"
"3341","2401","94"
"3345","2462","1000"
"3346","2463","1000"
"3349","2069","94"
"3350","2492","26"
"3351","2490","26"
"3352","1845","94"
"3353","1734","94"
"3354","2460","83"
"3355","2473","94"
"3356","1705","94"
"3357","1711","33"
"3359","612","83"
"3360","2055","94"
"3361","2167","94"
"3362","2082","83"
"3363","2217","1"
"3364","2258","2"
"3366","2448","1000"
"3367","2513","5"
"3369","1972","94"
"3370","2085","83"
"3371","2422","5"
"3372","2423","5"
"3373","2425","5"
"3374","2424","5"
"3375","2025","83"
"3376","2223","1"
"3377","2223","5"
"3378","2439","94"
"3379","2406","94"
"3381","2417","94"
"3382","1805","83"
"3383","2440","94"
"3384","2166","4"
"3385","2540","26"
"3386","2541","26"
"3387","1195","5"
"3390","2404","5"
"3391","2383","5"
"3392","2387","5"
"3393","2382","5"
"3394","2475","83"
"3395","1763","93"
"3396","2530","5"
"3397","1602","1"
"3398","1604","1"
"3400","2611","4"
"3403","2372","83"
"3405","2398","83"
"3406","2399","83"
"3408","1782","94"
"3409","2010","83"
"3410","1792","83"
"3411","1793","83"
"3412","2244","83"
"3414","2277","83"
"3415","2518","94"
"3418","1844","83"
"3419","1958","94"
"3420","2575","5"
"3424","2547","94"
"3426","2452","94"
"3427","2245","83"
"3428","2270","68"
"3430","2053","1011"
"3431","2053","33"
"3433","2139","2"
"3437","825","2"
"3438","2316","33"
"3439","2316","1000"
"3440","2338","1002"
"3441","2340","1002"
"3442","2339","1002"
"3443","1654","83"
"3444","2053","5"
"3445","2443","94"
"3447","2299","1002"
"3448","1986","94"
"3449","1929","83"
"3450","917","94"
"3451","2253","94"
"3452","2266","94"
"3453","2064","94"
"3454","2065","94"
"3455","1950","94"
"3456","1924","94"
"3457","2279","94"
"3458","2418","94"
"3459","2239","68"
"3460","2240","68"
"3462","2542","5"
"3463","2212","94"
"3464","2520","5"
"3465","2521","5"
"3467","2570","94"
"3470","2601","94"
"3471","2562","4"
"3473","2319","1"
"3474","2319","4"
"3478","2515","5"
"3482","2708","4"
"3483","2709","4"
"3484","1657","83"
"3485","2496","83"
"3487","2304","83"
"3488","2171","1000"
"3489","2172","1000"
"3490","2173","1000"
"3491","2234","12"
"3492","2234","5"
"3493","2235","12"
"3494","2235","5"
"3495","1482","1000"
"3496","2603","94"
"3497","2536","94"
"3498","2450","83"
"3500","2660","83"
"3503","2595","1000"
"3504","2364","68"
"3505","2365","68"
"3506","1926","1"
"3507","1927","1"
"3508","2600","94"
"3509","2568","1"
"3510","2569","1"
"3511","1579","68"
"3513","2632","1000"
"3514","1725","83"
"3516","2762","1000"
"3517","2761","1000"
"3519","2711","83"
"3520","2712","83"
"3521","2125","5"
"3522","2625","94"
"3523","2626","94"
"3524","2579","94"
"3525","2578","94"
"3526","2041","94"
"3527","2506","94"
"3528","2546","94"
"3529","2508","1000"
"3530","2574","5"
"3531","2574","4"
"3533","2573","4"
"3534","2573","5"
"3535","2051","33"
"3537","2052","33"
"3538","2295","83"
"3539","2517","83"
"3541","2588","68"
"3543","2593","5"
"3544","2246","33"
"3545","2741","94"
"3546","2591","1000"
"3547","2366","94"
"3548","2394","94"
"3549","2395","94"
"3550","2334","94"
"3552","2123","94"
"3553","2122","94"
"3554","2760","5"
"3556","2701","94"
"3557","2479","5"
"3558","2721","94"
"3559","2479","33"
"3560","2047","94"
"3561","2413","94"
"3562","1732","94"
"3563","2136","94"
"3564","2438","94"
"3565","2419","94"
"3566","2272","94"
"3567","2273","94"
"3568","2274","94"
"3570","2693","1000"
"3571","2692","1000"
"3573","2525","5"
"3574","2640","5"
"3575","2639","5"
"3576","2549","5"
"3577","2723","5"
"3578","2722","5"
"3581","2445","5"
"3585","2311","83"
"3586","2312","83"
"3587","2621","94"
"3588","2622","94"
